Dengue Serotype,Dengue Protein ,Interaction type,Gene symbol,Human Protein,NCBI,Method ,Details,Author,PUBMED ID/link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS1,interacts with,721,C4B,http://www.ncbi.nlm.nih.gov/gene/721,Co-AP Assay,Complement-mediated neutralization of dengue virus requires mannose-binding lectin,Avirutnan P ET. AL,"PMID:22167226,PMCID:PMC3236064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS1,interacts with,6774,STAT3,http://www.ncbi.nlm.nih.gov/gene/6774,yeast Two Hybrid Test ,Recombinant non-structural 1 (NS1) protein of dengue-2 virus interacts with human STAT3β protein,Chua JJE et al.,PMID:15878791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS1,interacts with,811,CALR,http://www.ncbi.nlm.nih.gov/gene/811,yeast Two Hybrid Test ,Mapping Protein Interactions between Dengue Virus and Its Human and Insect Hosts,"Janet M. Doolittle,Shawn M. Gomez",DOI: 10.1371/journal.pntd.0000954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS1,interacts with,1982,EIF4G2,http://www.ncbi.nlm.nih.gov/gene/1982,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS1,interacts with,139285,FAM123B,http://www.ncbi.nlm.nih.gov/gene/139285,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS1,interacts with,2244,FGB,http://www.ncbi.nlm.nih.gov/gene/2244,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS1,interacts with,3912,LAMB1,http://www.ncbi.nlm.nih.gov/gene/3912,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS1,interacts with,23118,MAP3K7IP2,http://www.ncbi.nlm.nih.gov/gene/23118,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS1,interacts with,10605,PAIP1,http://www.ncbi.nlm.nih.gov/gene/10605,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS1,interacts with,5725,PTBP1,http://www.ncbi.nlm.nih.gov/gene/5725,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS1,interacts with,3053,SERPIND1,http://www.ncbi.nlm.nih.gov/gene/3053,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS1,interacts with,6712,SPTBN2,http://www.ncbi.nlm.nih.gov/gene/6712,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS1,interacts with,153443,SRFBP1,http://www.ncbi.nlm.nih.gov/gene/153443,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS1,interacts with,6934,TCF7L2,http://www.ncbi.nlm.nih.gov/gene/6934,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS1,interacts with,23286,WWC1,http://www.ncbi.nlm.nih.gov/gene/23286,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,1654,DDX3X,http://www.ncbi.nlm.nih.gov/gene/1654,yeast Two Hybrid Test ,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,132320,SCLT1,http://www.ncbi.nlm.nih.gov/gene/132320,yeast Two Hybrid Test ,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,23095,KIF1B,http://www.ncbi.nlm.nih.gov/gene/23095,yeast Two Hybrid Test ,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito, A Physical Interaction Network of Dengue Virus and Human Proteins",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,8165,AKAP1,http://www.ncbi.nlm.nih.gov/gene/8165,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,22977,AKR7A3,http://www.ncbi.nlm.nih.gov/gene/22977,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,335,APOA1,http://www.ncbi.nlm.nih.gov/gene/335,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,338,APOB,http://www.ncbi.nlm.nih.gov/gene/338,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,9790,BMS1,http://www.ncbi.nlm.nih.gov/gene/9790,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,720,C4A,http://www.ncbi.nlm.nih.gov/gene/720,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,285331,CCDC66,http://www.ncbi.nlm.nih.gov/gene/285331,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,440193,CCDC88C,http://www.ncbi.nlm.nih.gov/gene/440193,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,23019,CNOT1,http://www.ncbi.nlm.nih.gov/gene/23019,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,9318,COPS2,http://www.ncbi.nlm.nih.gov/gene/9318,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,1499,CTNNB1,http://www.ncbi.nlm.nih.gov/gene/1499,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,1639,DCTN1,http://www.ncbi.nlm.nih.gov/gene/1639,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,1655,DDX5,http://www.ncbi.nlm.nih.gov/gene/1655,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,667,DST,http://www.ncbi.nlm.nih.gov/gene/667,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,139285,FAM123B,http://www.ncbi.nlm.nih.gov/gene/139285,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,2243,FGA,http://www.ncbi.nlm.nih.gov/gene/2243,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,55638,GOLSYN,http://www.ncbi.nlm.nih.gov/gene/55638,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,79784,MYH14,http://www.ncbi.nlm.nih.gov/gene/79784,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,5707,PSMD1,http://www.ncbi.nlm.nih.gov/gene/5707,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,22872,SEC31A,http://www.ncbi.nlm.nih.gov/gene/22872,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,9295,SFRS11,http://www.ncbi.nlm.nih.gov/gene/9295,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,6687,SPG7,http://www.ncbi.nlm.nih.gov/gene/6687,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,23224,SYNE2,http://www.ncbi.nlm.nih.gov/gene/23224,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2A,interacts with,8795,TNFRSF10B,http://www.ncbi.nlm.nih.gov/gene/8795,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,Interacts with,3039,HBA1,http://www.ncbi.nlm.nih.gov/gene/3039,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,55109,AGGF1,http://www.ncbi.nlm.nih.gov/gene/55109,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,1303,COL12A1,http://www.ncbi.nlm.nih.gov/gene/1303,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,1655,DDX5,http://www.ncbi.nlm.nih.gov/gene/1655,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,667,DST,http://www.ncbi.nlm.nih.gov/gene/667,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,139285,FAM123B,http://www.ncbi.nlm.nih.gov/gene/139285,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,2335,FN1,http://www.ncbi.nlm.nih.gov/gene/2335,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,2533,FYB,http://www.ncbi.nlm.nih.gov/gene/2533,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,3827,KNG1,http://www.ncbi.nlm.nih.gov/gene/3827,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,3839,KPNA3,http://www.ncbi.nlm.nih.gov/gene/3839,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,23118,MAP3K7IP2,http://www.ncbi.nlm.nih.gov/gene/23118,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,4811,NID1,http://www.ncbi.nlm.nih.gov/gene/4811,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,10762,NUP50,http://www.ncbi.nlm.nih.gov/gene/10762,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,10605,PAIP1,http://www.ncbi.nlm.nih.gov/gene/10605,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,10455,PECI,http://www.ncbi.nlm.nih.gov/gene/10455,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,8554,PIAS1,http://www.ncbi.nlm.nih.gov/gene/8554,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,3053,SERPIND1,http://www.ncbi.nlm.nih.gov/gene/3053,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,7329,UBE2I,http://www.ncbi.nlm.nih.gov/gene/7329,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,165324,UBXD4,http://www.ncbi.nlm.nih.gov/gene/165324,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,23286,WWC1,http://www.ncbi.nlm.nih.gov/gene/23286,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS2B,interacts with,146542,ZNF688,http://www.ncbi.nlm.nih.gov/gene/146542,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,Interacts with,3039,HBA1,http://www.ncbi.nlm.nih.gov/gene/3039,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,Interacts with,6128,RPL6,http://www.ncbi.nlm.nih.gov/gene/6128,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,Interacts with,7110,TMF1,http://www.ncbi.nlm.nih.gov/gene/7110,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,Interacts with,259282,BOD1L,http://www.ncbi.nlm.nih.gov/gene/259282,yeast Two Hybrid Test,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,23077,MYCBP2,http://www.ncbi.nlm.nih.gov/gene/23077,yeast two-hybrid & complex pull downs,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,9321,TRIP11,http://www.ncbi.nlm.nih.gov/gene/9321,Yeast Two Hybrid Test ,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,3053,SERPIND1,http://www.ncbi.nlm.nih.gov/gene/3053,yeast two-hybrid and complex pull downs,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito, A Physical Interaction Network of Dengue Virus and Human Proteins",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,10495,ENOX2,http://www.ncbi.nlm.nih.gov/gene/10495,yeast two hybrid test,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito, Flavivirus NS3 and NS5 proteins interaction network: a high-throughput yeast two-hybrid screen",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,3326,HSP90AB1,http://www.ncbi.nlm.nih.gov/gene/3326,yeast Two Hybrid Test & CO-AP assay,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito, Flavivirus NS3 and NS5 proteins interaction network: a high-throughput yeast two-hybrid screen",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,339487,ZBTB8OS,http://www.ncbi.nlm.nih.gov/gene/339487,yeast Two Hybrid Test & CO-AP assay,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito,A Physical Interaction Network of Dengue Virus and Human Proteins",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,9618,TRAF4,http://www.ncbi.nlm.nih.gov/gene/9618,Yeast Two hybrid Test & pull down assay,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito,Flavivirus NS3 and NS5 proteins interaction network: a high-throughput yeast two-hybrid screen",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,317,APAF1,http://www.ncbi.nlm.nih.gov/gene/317,Structural Similarity,Mapping Protein Interactions between Dengue Virus and Its Human and Insect Hosts,"Janet M. Doolittle,Shawn M. Gomez",DOI: 10.1371/journal.pntd.0000954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,5888,RAD51,http://www.ncbi.nlm.nih.gov/gene/5888,Structural Similarity,Mapping Protein Interactions between Dengue Virus and Its Human and Insect Hosts,"Janet M. Doolittle,Shawn M. Gomez",DOI: 10.1371/journal.pntd.0000954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,7083,TK1,http://www.ncbi.nlm.nih.gov/gene/7083,Structural Similarity,Mapping Protein Interactions between Dengue Virus and Its Human and Insect Hosts,"Janet M. Doolittle,Shawn M. Gomez",DOI: 10.1371/journal.pntd.0000954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,1655,DDX5,http://www.ncbi.nlm.nih.gov/gene/1655,Structural Similarity & Yeast Two hybrid Test ,"Mapping Protein Interactions between Dengue Virus and Its Human and Insect Hosts,A Physical Interaction Network of Dengue Virus and Human Proteins","Janet M. Doolittle,Shawn M. Gomez",DOI: 10.1371/journal.pntd.0000954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,26993,AKAP8L,http://www.ncbi.nlm.nih.gov/gene/26993,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,57182,ANKRD50,http://www.ncbi.nlm.nih.gov/gene/57182,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,10540,DCTN2,http://www.ncbi.nlm.nih.gov/gene/10540,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,11117,EMILIN1,http://www.ncbi.nlm.nih.gov/gene/11117,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,2244,FGB,http://www.ncbi.nlm.nih.gov/gene/2244,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,23095,KIF1B,http://www.ncbi.nlm.nih.gov/gene/23095,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,3895,KTN1,http://www.ncbi.nlm.nih.gov/gene/3895,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,642846,LOC642846,http://www.ncbi.nlm.nih.gov/gene/642846,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,,LOC728047,http://www.ncbi.nlm.nih.gov/gene/2804,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,5108,PCM1,http://www.ncbi.nlm.nih.gov/gene/5108,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,10015,PDCD6IP,http://www.ncbi.nlm.nih.gov/gene/10015,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,9588,PRDX6,http://www.ncbi.nlm.nih.gov/gene/9588,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,5725,PTBP1,http://www.ncbi.nlm.nih.gov/gene/5725,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS3,interacts with,26064,RAI14,http://www.ncbi.nlm.nih.gov/gene/26064,yeast Two Hybrid Test,A Physical Interaction Network of Dengue Virus and Human Proteins,Khadka S et al.,"PMID:21911577,PMCID:PMC3237087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
